Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S85257624,Mallard,Anas platyrhynchos,471,4,CA-QC,Montréal,L476082,PN du Cap-St-Jacques,45.4645346,-73.9315517,2021-04-10,01:44 PM,eBird - Traveling Count,139,1,4.65,,2
S76084500,Mallard,Anas platyrhynchos,471,4,CA-QC,Montréal,L351551,Parc des Rapides,45.4277985,-73.5921872,2020-11-10,10:45 AM,eBird - Traveling Count,126,1,2.78,,4
S84620339,Mallard,Anas platyrhynchos,471,4,CA-QC,Montréal,L351551,Parc des Rapides,45.4277985,-73.5921872,2021-04-02,03:01 PM,eBird - Traveling Count,65,1,2.41,,2
S89295836,Mallard,Anas platyrhynchos,471,8,CA-QC,Montréal,L351551,Parc des Rapides,45.4277985,-73.5921872,2021-05-30,01:46 PM,eBird - Traveling Count,104,1,2.22,,3
S76939042,Mallard,Anas platyrhynchos,471,4,CA-QC,Montréal,L453505,Parc du Mt-Royal,45.5055593,-73.5882289,2020-12-01,10:20 AM,eBird - Traveling Count,57,1,2.49,,2
S85346673,Mallard,Anas platyrhynchos,471,4,CA-QC,Montréal,L11363345,Parc écologique des Sources,45.474413,-73.763488,2021-04-11,03:10 PM,eBird - Traveling Count,104,1,3.,,4
S85544852,Mallard,Anas platyrhynchos,471,3,CA-QC,Montréal,L11363345,Parc écologique des Sources,45.474413,-73.763488,2021-04-14,01:45 PM,eBird - Traveling Count,124,1,3.,,2
S88276720,Mallard,Anas platyrhynchos,471,2,CA-QC,Montréal,L11363345,Parc écologique des Sources,45.474413,-73.763488,2021-05-15,10:02 AM,eBird - Traveling Count,193,0,5.39,,2
S84884415,Mallard,Anas platyrhynchos,471,6,CA-QC,Papineau,L6066332,PN de Plaisance--Marais aux rubaniers,45.5951224,-75.0866175,2021-04-04,01:01 PM,eBird - Traveling Count,155,1,6.97,,2
S75344278,Mallard,Anas platyrhynchos,471,2,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2020-10-24,10:49 AM,eBird - Traveling Count,255,1,8.81,,2
S76514889,Mallard,Anas platyrhynchos,471,34,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2020-11-21,11:01 AM,eBird - Traveling Count,217,1,9.63,,2
S83824699,Mallard,Anas platyrhynchos,471,2,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2021-03-21,11:31 AM,eBird - Traveling Count,172,1,7.45,,2
S87669468,Mallard,Anas platyrhynchos,471,5,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2021-05-09,09:15 AM,eBird - Traveling Count,352,1,8.36,,4
S76514872,Mallard,Anas platyrhynchos,471,3,CA-QC,Roussillon,L1138695,RécréoParc (Côte-Ste-Catherine),45.4088164,-73.5745737,2020-11-21,03:35 PM,eBird - Traveling Count,40,1,2.65,,2
S84884415,American Black Duck,Anas rubripes,493,2,CA-QC,Papineau,L6066332,PN de Plaisance--Marais aux rubaniers,45.5951224,-75.0866175,2021-04-04,01:01 PM,eBird - Traveling Count,155,1,6.97,,2
S75344278,Northern Pintail,Anas acuta,514,2,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2020-10-24,10:49 AM,eBird - Traveling Count,255,1,8.81,,2
S83824699,Northern Pintail,Anas acuta,514,8,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2021-03-21,11:31 AM,eBird - Traveling Count,172,1,7.45,,2
S86965556,Green-winged Teal,Anas crecca,529,4,CA-QC,Le Haut-Saint-Laurent,L293311,RNF du Lac-St-François,45.0428165,-74.4659194,2021-05-02,11:39 AM,eBird - Traveling Count,161,1,7.75,,2
S74982148,Green-winged Teal,Anas crecca,529,10,CA-QC,Longueuil,L1658613,PN des Îles-de-Boucherville (incluant Île Charron),45.594218,-73.4755858,2020-10-17,09:49 AM,eBird - Traveling Count,340,1,13.76,,2
S75344278,Green-winged Teal,Anas crecca,529,2,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2020-10-24,10:49 AM,eBird - Traveling Count,255,1,8.81,,2
S87669468,Green-winged Teal,Anas crecca,529,2,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2021-05-09,09:15 AM,eBird - Traveling Count,352,1,8.36,,4
S75344278,Ring-necked Duck,Aythya collaris,580,2,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2020-10-24,10:49 AM,eBird - Traveling Count,255,1,8.81,,2
S85257624,Greater Scaup,Aythya marila,596,2,CA-QC,Montréal,L476082,PN du Cap-St-Jacques,45.4645346,-73.9315517,2021-04-10,01:44 PM,eBird - Traveling Count,139,1,4.65,,2
S73998403,Common Eider,Somateria mollissima,615,30,CA-QC,La Haute-Côte-Nord,L3769317,Centre d’int. et d’obs. de Cap-de-Bon-Désir,48.271834,-69.469619,2020-09-24,11:07 AM,eBird - Traveling Count,58,1,.54,,1
S85257624,Bufflehead,Bucephala albeola,641,4,CA-QC,Montréal,L476082,PN du Cap-St-Jacques,45.4645346,-73.9315517,2021-04-10,01:44 PM,eBird - Traveling Count,139,1,4.65,,2
S84620339,Bufflehead,Bucephala albeola,641,7,CA-QC,Montréal,L351551,Parc des Rapides,45.4277985,-73.5921872,2021-04-02,03:01 PM,eBird - Traveling Count,65,1,2.41,,2
